No;Familia1;Género1;Código;FAMILIA;GENERO;ESPECIE;Culmen-Expuesto;Culmen-Total;Largo-Narina;Alto-Narina;Comisura;Longitud-Tarzo;Cuerda-Alar;Largo-Rectrices;Longitud-total;Dieta
76;TROGL;Hncrh;Hncrhl;TROGLODYTIDAE ;Henicorhina ;Henicorhina leucosticta;14,2;17,9;11;3,9;8,2;24,9;51,7;31,9;67,5;I
77;TROGL;Hncrh;Hncrhl;TROGLODYTIDAE ;Henicorhina  ;Henicorhina leucophrys ;14,9;18,5;11,5;3,7;7,1;24,6;53,3;32,7;77,2;I
78;TROGL;Cnnyc;Cnnycp;TROGLODYTIDAE  ;Cinnycerthia  ;Cinnycerthia peruana ;15,1;18,2;11,2;4,5;8,7;20,7;63,3;69;124,8;I
79;TROGO;Trogn;Trgnrf;TROGONIDAE ;Trogon ;Trogon rufus;14,8;19,3;12,2;9,7;20,1;16,9;109,4;139,2;225;F
80;TURDI;Mydst;Mydstr;TURDIDAE;Myadestes  ;Myadestes  ralloides;11,5;14,6;8,1;4,2;10,7;21,4;79,6;80;149,3;I
81;TURDI;Mydst;Cchlpl;TURDIDAE ;Myadestes  ;Cichlopsis leucogenys;16,2;20,4;11,1;5,1;11,1;25,1;105,4;99,6;175;I
82;TURDI;Pltyc;Trdslc;TURDIDAE ;Platycichla  ;Turdus leucops ;18,6;20,3;12,1;6,1;10,8;25,8;119,9;51,5;142,4;I
83;TURDI;Entmd;Entmdc;TURDIDAE  ;Entomodestes  ;Entomodestes coracinus ;14,4;18,7;10,3;5,6;11,2;29,2;102,6;102,2;209;I
84;TYRAN;Colon;Clncln;TYRANIDAE;Colonia ; Colonia colonus;8,7;9,6;5,6;3,1;7,4;13,2;75,3;172,3;221,5;I
85;TYRAN;Myphb;Myphff;TYRANIDAE;Myophobus; Myophobus fasciatus fasciatus;11,2;14,6;9,8;4,1;7,3;17,2;60,1;59,5;101,2;I
86;TYRAN;Mncts;Mnctso;TYRANNIDAE ;Mionectes  ;Mionectes olivaceus ;13,6;15,1;9,4;3,8;7,1;18,7;64,2;56,1;104,9;F
87;TYRAN;Mytrc;Mytrco;TYRANNIDAE ;Myiotriccus  ;Myiotriccus ornatus ;8,8;11,2;6,2;2,9;7,2;3,1;54,2;44,4;84,6;I
88;TYRAN;Mncts;Mnctss;TYRANNIDAE ;Mionectes  ;Mionectes striaticollis ;12,8;15,6;9,5;3,9;6,9;16,3;64;54;97;F
89;TYRAN;Psdtr;Psdtrp;TYRANNIDAE  ;Pseudotriccus  ;Pseudotriccus pelzelni ;9,9;13,5;7,6;3,4;6,6;20,9;58,5;51,1;100,4;I
90;VIREO;Hylph;Hylpho;VIREONIDAE  ;Hylophilus ;Hylophilus ochraceiceps ;12,3;15,7;9,3;4,5;6,8;16,7;56,4;44,1;81,8;I
